kanji,grade
簡,6
臨,6
難,6
臓,6
警,6
乙,7
了,7
又,7
与,7
及,7
丈,7
刃,7
凡,7
勺,7
互,7
弔,7
井,7
升,7
丹,7
乏,7
匁,7
屯,7
介,7
冗,7
凶,7
刈,7
匹,7
厄,7
双,7
孔,7
幻,7
斗,7
斤,7
且,7
丙,7
甲,7
凸,7
丘,7
斥,7
仙,7
凹,7
召,7
巨,7
占,7
囚,7
奴,7
尼,7
巧,7
払,7
汁,7
玄,7
甘,7
矛,7
込,7
弐,7
朱,7
吏,7
劣,7
充,7
妄,7
企,7
仰,7
伐,7
伏,7
刑,7
旬,7
旨,7
匠,7
叫,7
吐,7
吉,7
如,7
妃,7
尽,7
帆,7
忙,7
扱,7
朽,7
朴,7
汚,7
汗,7
江,7
壮,7
缶,7
肌,7
舟,7
芋,7
芝,7
巡,7
迅,7
亜,7
更,7
寿,7
励,7
含,7
佐,7
伺,7
伸,7
但,7
伯,7
伴,7
呉,7
克,7
却,7
吟,7
吹,7
呈,7
壱,7
坑,7
坊,7
妊,7
妨,7
妙,7
肖,7
尿,7
尾,7
岐,7
攻,7
忌,7
床,7
廷,7
忍,7
戒,7
戻,7
抗,7
抄,7
択,7
把,7
抜,7
扶,7
抑,7
杉,7
沖,7
沢,7
沈,7
没,7
妥,7
狂,7
秀,7
肝,7
即,7
芳,7
辛,7
迎,7
邦,7
岳,7
奉,7
享,7
盲,7
依,7
佳,7
侍,7
侮,7
併,7
免,7
刺,7
劾,7
卓,7
叔,7
坪,7
奇,7
奔,7
姓,7
宜,7
尚,7
屈,7
岬,7
弦,7
征,7
彼,7
怪,7
怖,7
肩,7
房,7
押,7
拐,7
拒,7
拠,7
拘,7
拙,7
拓,7
抽,7
抵,7
拍,7
披,7
抱,7
抹,7
昆,7
昇,7
枢,7
析,7
杯,7
枠,7
欧,7
肯,7
殴,7
況,7
沼,7
泥,7
泊,7
泌,7
沸,7
泡,7
炎,7
炊,7
炉,7
邪,7
祈,7
祉,7
突,7
肢,7
肪,7
到,7
茎,7
苗,7
茂,7
迭,7
迫,7
邸,7
阻,7
附,7
斉,7
甚,7
帥,7
衷,7
幽,7
為,7
盾,7
卑,7
哀,7
亭,7
帝,7
侯,7
俊,7
侵,7
促,7
俗,7
盆,7
冠,7
削,7
勅,7
貞,7
卸,7
厘,7
怠,7
叙,7
咲,7
垣,7
契,7
姻,7
孤,7
封,7
峡,7
峠,7
弧,7
悔,7
恒,7
恨,7
怒,7
威,7
括,7
挟,7
拷,7
挑,7
施,7
是,7
冒,7
架,7
枯,7
柄,7
柳,7
皆,7
洪,7
浄,7
津,7
洞,7
牲,7
狭,7
狩,7
珍,7
某,7
疫,7
柔,7
砕,7
窃,7
糾,7
耐,7
胎,7
胆,7
胞,7
臭,7
荒,7
荘,7
虐,7
訂,7
赴,7
軌,7
逃,7
郊,7
郎,7
香,7
剛,7
衰,7
畝,7
恋,7
倹,7
倒,7
倣,7
俸,7
倫,7
翁,7
兼,7
准,7
凍,7
剣,7
剖,7
脅,7
匿,7
栽,7
索,7
桑,7
唆,7
哲,7
埋,7
娯,7
娠,7
姫,7
娘,7
宴,7
宰,7
宵,7
峰,7
貢,7
唐,7
徐,7
悦,7
恐,7
恭,7
恵,7
悟,7
悩,7
扇,7
振,7
捜,7
挿,7
捕,7
敏,7
核,7
桟,7
栓,7
桃,7
殊,7
殉,7
浦,7
浸,7
泰,7
浜,7
浮,7
涙,7
浪,7
烈,7
畜,7
珠,7
畔,7
疾,7
症,7
疲,7
眠,7
砲,7
祥,7
称,7
租,7
秩,7
粋,7
紛,7
紡,7
紋,7
耗,7
恥,7
脂,7
朕,7
胴,7
致,7
般,7
既,7
華,7
蚊,7
被,7
託,7
軒,7
辱,7
唇,7
逝,7
逐,7
逓,7
途,7
透,7
酌,7
陥,7
陣,7
隻,7
飢,7
鬼,7
剤,7
竜,7
粛,7
尉,7
彫,7
偽,7
偶,7
偵,7
偏,7
剰,7
勘,7
乾,7
喝,7
啓,7
唯,7
執,7
培,7
堀,7
婚,7
婆,7
寂,7
崎,7
崇,7
崩,7
庶,7
庸,7
彩,7
患,7
惨,7
惜,7
悼,7
悠,7
掛,7
掘,7
掲,7
控,7
据,7
措,7
掃,7
排,7
描,7
斜,7
旋,7
曹,7
殻,7
貫,7
涯,7
渇,7
渓,7
渋,7
淑,7
渉,7
淡,7
添,7
涼,7
猫,7
猛,7
猟,7
瓶,7
累,7
盗,7
眺,7
窒,7
符,7
粗,7
粘,7
粒,7
紺,7
紹,7
紳,7
脚,7
脱,7
豚,7
舶,7
菓,7
菊,7
菌,7
虚,7
蛍,7
蛇,7
袋,7
訟,7
販,7
赦,7
軟,7
逸,7
逮,7
郭,7
酔,7
釈,7
釣,7
陰,7
陳,7
陶,7
陪,7
隆,7
陵,7
麻,7
斎,7
喪,7
奥,7
蛮,7
偉,7
傘,7
傍,7
普,7
喚,7
喫,7
圏,7
堪,7
堅,7
堕,7
塚,7
堤,7
塔,7
塀,7
媒,7
婿,7
掌,7
項,7
幅,7
帽,7
幾,7
廃,7
廊,7
弾,7
尋,7
御,7
循,7
慌,7
惰,7
愉,7
惑,7
雇,7
扉,7
握,7
援,7
換,7
搭,7
揚,7
揺,7
敢,7
暁,7
晶,7
替,7
棺,7
棋,7
棚,7
棟,7
款,7
欺,7
殖,7
渦,7
滋,7
湿,7
渡,7
湾,7
煮,7
猶,7
琴,7
畳,7
塁,7
疎,7
痘,7
痢,7
硬,7
硝,7
硫,7
筒,7
粧,7
絞,7
紫,7
絡,7
脹,7
腕,7
葬,7
募,7
裕,7
裂,7
詠,7
詐,7
詔,7
診,7
訴,7
越,7
超,7
距,7
軸,7
遇,7
遂,7
遅,7
遍,7
酢,7
鈍,7
閑,7
隅,7
随,7
焦,7
雄,7
雰,7
殿,7
棄,7
傾,7
傑,7
債,7
催,7
僧,7
慈,7
勧,7
載,7
嗣,7
嘆,7
塊,7
塑,7
塗,7
奨,7
嫁,7
嫌,7
寛,7
寝,7
廉,7
微,7
慨,7
愚,7
愁,7
慎,7
携,7
搾,7
摂,7
搬,7
暇,7
楼,7
歳,7
滑,7
溝,7
滞,7
滝,7
漠,7
滅,7
溶,7
煙,7
煩,7
雅,7
猿,7
献,7
痴,7
睡,7
督,7
碁,7
禍,7
禅,7
稚,7
継,7
腰,7
艇,7
蓄,7
虞,7
虜,7
褐,7
裸,7
触,7
該,7
詰,7
誇,7
詳,7
誉,7
賊,7
賄,7
跡,7
践,7
跳,7
較,7
違,7
遣,7
酬,7
酪,7
鉛,7
鉢,7
鈴,7
隔,7
雷,7
零,7
靴,7
頑,7
頒,7
飾,7
飽,7
鼓,7
豪,7
僕,7
僚,7
暦,7
塾,7
奪,7
嫡,7
寡,7
寧,7
腐,7
彰,7
徴,7
憎,7
慢,7
摘,7
概,7
雌,7
漆,7
漸,7
漬,7
滴,7
漂,7
漫,7
漏,7
獄,7
碑,7
稲,7
端,7
箇,7
維,7
綱,7
緒,7
網,7
罰,7
膜,7
慕,7
誓,7
誘,7
踊,7
遮,7
遭,7
酵,7
酷,7
銃,7
銑,7
銘,7
閥,7
隠,7
需,7
駆,7
駄,7
髪,7
魂,7
錬,7
緯,7
韻,7
影,7
鋭,7
謁,7
閲,7
縁,7
憶,7
穏,7
稼,7
餓,7
壊,7
懐,7
嚇,7
獲,7
